Trade #,Buy Amount (INR),Sell Gross (INR),Fee (INR),Sell After Fee (INR),Net Profit (INR),Total Capital (INR),Growth (%)
401,107048.23,109189.2,28.97,109160.23,2111.99,202120.41,10106.02
402,108118.72,110281.09,29.02,110252.07,2133.35,204253.76,10212.69
403,109199.9,111383.9,29.07,111354.83,2154.92,206408.68,10320.43
404,110291.9,112497.74,29.12,112468.62,2176.71,208585.4,10429.27
405,111394.82,113622.72,29.18,113593.54,2198.72,210784.12,10539.21
406,112508.77,114758.95,29.23,114729.72,2220.95,213005.06,10650.25
407,113633.86,115906.54,29.28,115877.26,2243.4,215248.46,10762.42
408,114770.2,117065.6,29.33,117036.27,2266.07,217514.53,10875.73
409,115917.9,118236.26,29.39,118206.87,2288.97,219803.51,10990.18
410,117077.08,119418.62,29.44,119389.18,2312.1,222115.61,11105.78
411,118247.85,120612.81,29.49,120583.31,2335.46,224451.07,11222.55
412,119430.33,121818.93,29.55,121789.38,2359.06,226810.13,11340.51
413,120624.63,123037.12,29.6,123007.52,2382.89,229193.02,11459.65
414,121830.88,124267.49,29.66,124237.83,2406.96,231599.98,11580.0
415,123049.19,125510.17,29.72,125480.45,2431.27,234031.24,11701.56
416,124279.68,126765.27,29.77,126735.5,2455.82,236487.06,11824.35
417,125522.47,128032.92,29.83,128003.09,2480.62,238967.68,11948.38
418,126777.7,129313.25,29.89,129283.36,2505.66,241473.34,12073.67
419,128045.48,130606.38,29.95,130576.44,2530.96,244004.3,12200.22
420,129325.93,131912.45,30.01,131882.44,2556.51,246560.81,12328.04
421,130619.19,133231.57,30.07,133201.5,2582.32,249143.13,12457.16
422,131925.38,134563.89,30.13,134533.76,2608.38,251751.51,12587.58
423,133244.64,135909.53,30.19,135879.34,2634.7,254386.21,12719.31
424,134577.08,137268.62,30.25,137238.37,2661.29,257047.5,12852.37
425,135922.85,138641.31,30.31,138610.99,2688.14,259735.64,12986.78
426,137282.08,140027.72,30.38,139997.34,2715.26,262450.9,13122.55
427,138654.9,141428.0,30.44,141397.56,2742.66,265193.56,13259.68
428,140041.45,142842.28,30.51,142811.77,2770.32,267963.88,13398.19
429,141441.87,144270.7,30.57,144240.13,2798.27,270762.15,13538.11
430,142856.28,145713.41,30.64,145682.77,2826.49,273588.64,13679.43
431,144284.85,147170.54,30.7,147139.84,2854.99,276443.63,13822.18
432,145727.7,148642.25,30.77,148611.48,2883.78,279327.41,13966.37
433,147184.97,150128.67,30.84,150097.83,2912.86,282240.28,14112.01
434,148656.82,151629.96,30.91,151599.05,2942.23,285182.51,14259.13
435,150143.39,153146.26,30.98,153115.28,2971.89,288154.4,14407.72
436,151644.82,154677.72,31.05,154646.67,3001.85,291156.25,14557.81
437,153161.27,156224.5,31.12,156193.38,3032.11,294188.36,14709.42
438,154692.88,157786.74,31.19,157755.56,3062.67,297251.03,14862.55
439,156239.81,159364.61,31.26,159333.35,3093.54,300344.57,15017.23
440,157802.21,160958.26,31.33,160926.92,3124.71,303469.28,15173.46
441,159380.23,162567.84,31.4,162536.43,3156.2,306625.48,15331.27
442,160974.04,164193.52,31.48,164162.04,3188.0,309813.48,15490.67
443,162583.78,165835.45,31.55,165803.9,3220.12,313033.6,15651.68
444,164209.61,167493.81,31.63,167462.18,3252.56,316286.17,15814.31
445,165851.71,169168.74,31.71,169137.04,3285.33,319571.49,15978.57
446,167510.23,170860.43,31.78,170828.65,3318.42,322889.92,16144.5
447,169185.33,172569.04,31.86,172537.18,3351.85,326241.76,16312.09
448,170877.18,174294.73,31.94,174262.79,3385.6,329627.37,16481.37
449,172585.96,176037.67,32.02,176005.66,3419.7,333047.07,16652.35
450,174311.81,177798.05,32.1,177765.95,3454.14,336501.21,16825.06
451,176054.93,179576.03,32.18,179543.85,3488.92,339990.13,16999.51
452,177815.48,181371.79,32.26,181339.53,3524.05,343514.17,17175.71
453,179593.64,183185.51,32.34,183153.17,3559.53,347073.7,17353.69
454,181389.57,185017.36,32.43,184984.94,3595.36,350669.07,17533.45
455,183203.47,186867.54,32.51,186835.03,3631.56,354300.62,17715.03
456,185035.5,188736.21,32.6,188703.62,3668.11,357968.74,17898.44
457,186885.86,190623.58,32.68,190590.89,3705.03,361673.77,18083.69
458,188754.72,192529.81,32.77,192497.04,3742.32,365416.1,18270.8
459,190642.26,194455.11,32.86,194422.25,3779.99,369196.09,18459.8
460,192548.69,196399.66,32.95,196366.72,3818.03,373014.11,18650.71
461,194474.17,198363.66,33.04,198330.62,3856.45,376870.56,18843.53
462,196418.92,200347.29,33.13,200314.17,3895.25,380765.81,19038.29
463,198383.1,202350.77,33.22,202317.55,3934.45,384700.26,19235.01
464,200366.94,204374.27,33.31,204340.97,3974.03,388674.29,19433.71
465,202370.61,206418.02,33.4,206384.62,4014.01,392688.3,19634.41
466,204394.31,208482.2,33.5,208448.7,4054.39,396742.69,19837.13
467,206438.25,210567.02,33.59,210533.43,4095.17,400837.86,20041.89
468,208502.64,212672.69,33.69,212639.0,4136.37,404974.23,20248.71
469,210587.66,214799.42,33.78,214765.63,4177.97,409152.2,20457.61
470,212693.54,216947.41,33.88,216913.53,4219.99,413372.19,20668.61
471,214820.48,219116.88,33.98,219082.9,4262.43,417634.62,20881.73
472,216968.68,221308.05,34.08,221273.97,4305.29,421939.91,21097.0
473,219138.37,223521.13,34.18,223486.95,4348.59,426288.5,21314.42
474,221329.75,225756.35,34.28,225722.06,4392.31,430680.81,21534.04
475,223543.05,228013.91,34.39,227979.52,4436.48,435117.28,21755.86
476,225778.48,230294.05,34.49,230259.56,4481.08,439598.36,21979.92
477,228036.26,232596.99,34.59,232562.39,4526.13,444124.49,22206.22
478,230316.63,234922.96,34.7,234888.26,4571.63,448696.13,22434.81
479,232619.79,237272.19,34.81,237237.38,4617.59,453313.71,22665.69
480,234945.99,239644.91,34.92,239609.99,4664.0,457977.72,22898.89
481,237295.45,242041.36,35.02,242006.33,4710.88,462688.6,23134.43
482,239668.4,244461.77,35.13,244426.64,4758.23,467446.84,23372.34
483,242065.09,246906.39,35.25,246871.14,4806.06,472252.89,23612.64
484,244485.74,249375.45,35.36,249340.1,4854.36,477107.25,23855.36
485,246930.6,251869.21,35.47,251833.74,4903.14,482010.39,24100.52
486,249399.9,254387.9,35.59,254352.31,4952.41,486962.8,24348.14
487,251893.9,256931.78,35.7,256896.08,5002.18,491964.97,24598.25
488,254412.84,259501.1,35.82,259465.28,5052.44,497017.41,24850.87
489,256956.97,262096.11,35.94,262060.17,5103.2,502120.61,25106.03
490,259526.54,264717.07,36.06,264681.01,5154.47,507275.08,25363.75
491,262121.8,267364.24,36.18,267328.06,5206.26,512481.34,25624.07
492,264743.02,270037.88,36.3,270001.58,5258.56,517739.9,25887.0
493,267390.45,272738.26,36.42,272701.84,5311.39,523051.29,26152.56
494,270064.36,275465.64,36.55,275429.1,5364.74,528416.03,26420.8
495,272765.0,278220.3,36.67,278183.63,5418.63,533834.66,26691.73
496,275492.65,281002.5,36.8,280965.7,5473.05,539307.71,26965.39
497,278247.58,283812.53,36.93,283775.6,5528.02,544835.73,27241.79
498,281030.05,286650.65,37.06,286613.6,5583.54,550419.28,27520.96
499,283840.35,289517.16,37.19,289479.97,5639.62,556058.9,27802.94
500,286678.76,292412.33,37.32,292375.01,5696.26,561755.15,28087.76
501,289545.54,295336.46,37.45,295299.0,5753.46,567508.61,28375.43
502,292441.0,298289.82,37.59,298252.23,5811.23,573319.84,28665.99
503,295365.41,301272.72,37.72,301235.0,5869.59,579189.43,28959.47
504,298319.06,304285.45,37.86,304247.59,5928.52,585117.95,29255.9
505,301302.26,307328.3,38.0,307290.3,5988.05,591106.0,29555.3
506,304315.28,310401.58,38.14,310363.44,6048.17,597154.17,29857.71
507,307358.43,313505.6,38.28,313467.32,6108.89,603263.05,30163.15
508,310432.01,316640.65,38.42,316602.23,6170.22,609433.27,30471.66
509,313536.33,319807.06,38.57,319768.49,6232.16,615665.43,30783.27
510,316671.7,323005.13,38.71,322966.42,6294.72,621960.15,31098.01
511,319838.42,326235.18,38.86,326196.32,6357.91,628318.06,31415.9
512,323036.8,329497.54,39.01,329458.53,6421.73,634739.79,31736.99
513,326267.17,332792.51,39.16,332753.35,6486.18,641225.97,32061.3
514,329529.84,336120.44,39.31,336081.13,6551.29,647777.26,32388.86
515,332825.14,339481.64,39.46,339442.18,6617.04,654394.3,32719.72
516,336153.39,342876.46,39.62,342836.84,6683.45,661077.75,33053.89
517,339514.92,346305.22,39.77,346265.45,6750.52,667828.28,33391.41
518,342910.07,349768.27,39.93,349728.34,6818.27,674646.55,33732.33
519,346339.17,353265.96,40.09,353225.87,6886.69,681533.24,34076.66
520,349802.56,356798.62,40.25,356758.36,6955.8,688489.04,34424.45
521,353300.59,360366.6,40.41,360326.19,7025.6,695514.63,34775.73
522,356833.6,363970.27,40.58,363929.69,7096.09,702610.73,35130.54
523,360401.93,367609.97,40.74,367569.23,7167.29,709778.02,35488.9
524,364005.95,371286.07,40.91,371245.16,7239.21,717017.23,35850.86
525,367646.01,374998.93,41.08,374957.85,7311.84,724329.07,36216.45
526,371322.47,378748.92,41.25,378707.67,7385.2,731714.27,36585.71
527,375035.7,382536.41,41.42,382494.99,7459.29,739173.56,36958.68
528,378786.05,386361.77,41.6,386320.18,7534.12,746707.68,37335.38
529,382573.91,390225.39,41.77,390183.62,7609.7,754317.38,37715.87
530,386399.65,394127.65,41.95,394085.69,7686.04,762003.42,38100.17
531,390263.65,398068.92,42.13,398026.79,7763.14,769766.57,38488.33
532,394166.29,402049.61,42.31,402007.3,7841.01,777607.58,38880.38
533,398107.95,406070.11,42.5,406027.61,7919.66,785527.24,39276.36
534,402089.03,410130.81,42.68,410088.13,7999.1,793526.34,39676.32
535,406109.92,414232.12,42.87,414189.25,8079.33,801605.67,40080.28
536,410171.02,418374.44,43.06,418331.38,8160.36,809766.03,40488.3
537,414272.73,422558.18,43.25,422514.93,8242.21,818008.24,40900.41
538,418415.45,426783.76,43.44,426740.32,8324.87,826333.11,41316.66
539,422599.61,431051.6,43.63,431007.97,8408.36,834741.47,41737.07
540,426825.6,435362.12,43.83,435318.29,8492.68,843234.15,42161.71
541,431093.86,439715.74,44.03,439671.71,8577.85,851812.0,42590.6
542,435404.8,444112.9,44.23,444068.67,8663.87,860475.87,43023.79
543,439758.85,448554.02,44.43,448509.59,8750.75,869226.61,43461.33
544,444156.44,453039.56,44.64,452994.93,8838.49,878065.11,43903.26
545,448598.0,457569.96,44.84,457525.12,8927.12,886992.22,44349.61
546,453083.98,462145.66,45.05,462100.61,9016.63,896008.85,44800.44
547,457614.82,466767.12,45.26,466721.86,9107.04,905115.89,45255.79
548,462190.97,471434.79,45.47,471389.31,9198.35,914314.24,45715.71
549,466812.88,476149.14,45.69,476103.45,9290.57,923604.81,46180.24
550,471481.01,480910.63,45.91,480864.72,9383.72,932988.52,46649.43
551,476195.82,485719.73,46.12,485673.61,9477.79,942466.31,47123.32
552,480957.78,490576.93,46.35,490530.59,9572.81,952039.12,47601.96
553,485767.35,495482.7,46.57,495436.13,9668.78,961707.9,48085.4
554,490625.03,500437.53,46.79,500390.73,9765.71,971473.61,48573.68
555,495531.28,505441.9,47.02,505394.88,9863.6,981337.21,49066.86
556,500486.59,510496.32,47.25,510449.07,9962.48,991299.69,49564.98
557,505491.46,515601.28,47.49,515553.8,10062.34,1001362.03,50068.1
558,510546.37,520757.3,47.72,520709.58,10163.21,1011525.24,50576.26
559,515651.83,525964.87,47.96,525916.91,10265.08,1021790.32,51089.52
560,520808.35,531224.52,48.2,531176.32,10367.97,1032158.29,51607.91
561,526016.44,536536.76,48.44,536488.33,10471.89,1042630.18,52131.51
562,531276.6,541902.13,48.68,541853.45,10576.85,1053207.03,52660.35
563,536589.37,547321.15,48.93,547272.22,10682.86,1063889.89,53194.49
564,541955.26,552794.36,49.18,552745.19,10789.93,1074679.81,53733.99
565,547374.81,558322.31,49.43,558272.88,10898.07,1085577.88,54278.89
566,552848.56,563905.53,49.69,563855.85,11007.29,1096585.16,54829.26
567,558377.05,569544.59,49.94,569494.64,11117.6,1107702.76,55385.14
568,563960.82,575240.03,50.2,575189.83,11229.01,1118931.78,55946.59
569,569600.42,580992.43,50.46,580941.97,11341.54,1130273.32,56513.67
570,575296.43,586802.36,50.73,586751.63,11455.2,1141728.52,57086.43
571,581049.39,592670.38,51.0,592619.39,11569.99,1153298.51,57664.93
572,586859.89,598597.08,51.27,598545.82,11685.93,1164984.45,58249.22
573,592728.49,604583.06,51.54,604531.52,11803.03,1176787.48,58839.37
574,598655.77,610628.89,51.81,610577.07,11921.3,1188708.78,59435.44
575,604642.33,616735.17,52.09,616683.08,12040.75,1200749.54,60037.48
576,610688.75,622902.53,52.37,622850.15,12161.4,1212910.94,60645.55
577,616795.64,629131.55,52.66,629078.9,12283.26,1225194.19,61259.71
578,622963.6,635422.87,52.94,635369.92,12406.33,1237600.52,61880.03
579,629193.23,641777.1,53.23,641723.86,12530.63,1250131.16,62506.56
580,635485.16,648194.87,53.52,648141.34,12656.18,1262787.33,63139.37
581,641840.02,654676.82,53.82,654623.0,12782.98,1275570.31,63778.52
582,648258.42,661223.58,54.12,661169.47,12911.05,1288481.36,64424.07
583,654741.0,667835.82,54.42,667781.4,13040.4,1301521.77,65076.09
584,661288.41,674514.18,54.72,674459.45,13171.04,1314692.81,65734.64
585,667901.29,681259.32,55.03,681204.29,13303.0,1327995.81,66399.79
586,674580.31,688071.91,55.34,688016.57,13436.27,1341432.07,67071.6
587,681326.11,694952.63,55.65,694896.98,13570.87,1355002.94,67750.15
588,688139.37,701902.16,55.97,701846.19,13706.82,1368709.75,68435.49
589,695020.76,708921.18,56.29,708864.89,13844.12,1382553.88,69127.69
590,701970.97,716010.39,56.61,715953.78,13982.81,1396536.69,69826.83
591,708990.68,723170.5,56.94,723113.56,14122.87,1410659.56,70532.98
592,716080.59,730402.2,57.27,730344.93,14264.34,1424923.9,71246.2
593,723241.39,737706.22,57.6,737648.62,14407.23,1439331.13,71966.56
594,730473.81,745083.28,57.94,745025.35,14551.54,1453882.67,72694.13
595,737778.55,752534.12,58.28,752475.84,14697.29,1468579.96,73429.0
596,745156.33,760059.46,58.62,760000.84,14844.51,1483424.47,74171.22
597,752607.9,767660.05,58.97,767601.09,14993.19,1498417.66,74920.88
598,760133.97,775336.65,59.32,775277.34,15143.36,1513561.02,75678.05
599,767735.31,783090.02,59.67,783030.35,15295.04,1528856.06,76442.8
600,775412.67,790920.92,60.03,790860.89,15448.23,1544304.29,77215.21
601,783166.79,798830.13,60.39,798769.74,15602.95,1559907.24,77995.36
602,790998.46,806818.43,60.75,806757.68,15759.22,1575666.46,78783.32
603,798908.45,814886.62,61.12,814825.5,15917.05,1591583.51,79579.18
604,806897.53,823035.48,61.49,822973.99,16076.46,1607659.97,80383.0
605,814966.51,831265.84,61.86,831203.97,16237.47,1623897.44,81194.87
606,823116.17,839578.49,62.24,839516.25,16400.08,1640297.52,82014.88
607,831347.33,847974.28,62.62,847911.66,16564.32,1656861.84,82843.09
608,839660.81,856454.02,63.01,856391.01,16730.21,1673592.05,83679.6
609,848057.41,865018.56,63.4,864955.16,16897.75,1690489.79,84524.49
610,856537.99,873668.75,63.79,873604.95,17066.97,1707556.76,85377.84
611,865103.37,882405.44,64.19,882341.24,17237.87,1724794.63,86239.73
612,873754.4,891229.49,64.59,891164.9,17410.49,1742205.13,87110.26
613,882491.95,900141.79,65.0,900076.78,17584.84,1759789.97,87989.5
614,891316.87,909143.2,65.41,909077.79,17760.93,1777550.89,88877.54
615,900230.03,918234.64,65.82,918168.81,17938.78,1795489.67,89774.48
616,909232.33,927416.98,66.24,927350.74,18118.4,1813608.07,90680.4
617,918324.66,936691.15,66.67,936624.49,18299.83,1831907.9,91595.39
618,927507.9,946058.06,67.09,945990.97,18483.07,1850390.97,92519.55
619,936782.98,955518.64,67.52,955451.12,18668.14,1869059.1,93452.96
620,946150.81,965073.83,67.96,965005.87,18855.06,1887914.16,94395.71
621,955612.32,974724.57,68.4,974656.17,19043.85,1906958.01,95347.9
622,965168.44,984471.81,68.84,984402.97,19234.53,1926192.54,96309.63
623,974820.13,994316.53,69.29,994247.24,19427.11,1945619.65,97280.98
624,984568.33,1004259.7,69.74,1004189.95,19621.62,1965241.27,98262.06
625,994414.01,1014302.29,70.2,1014232.09,19818.08,1985059.35,99252.97
626,1004358.15,1024445.32,70.66,1024374.65,20016.5,2005075.85,100253.79
627,1014401.74,1034689.77,71.13,1034618.64,20216.91,2025292.76,101264.64
628,1024545.75,1045036.67,71.6,1044965.07,20419.31,2045712.07,102285.6
629,1034791.21,1055487.03,72.08,1055414.96,20623.75,2066335.82,103316.79
630,1045139.12,1066041.91,72.56,1065969.35,20830.23,2087166.05,104358.3
631,1055590.51,1076702.32,73.04,1076629.28,21038.77,2108204.81,105410.24
632,1066146.42,1087469.35,73.53,1087395.81,21249.4,2129454.21,106472.71
633,1076807.88,1098344.04,74.03,1098270.01,21462.13,2150916.34,107545.82
634,1087575.96,1109327.48,74.53,1109252.95,21676.99,2172593.33,108629.67
635,1098451.72,1120420.76,75.03,1120345.72,21894.0,2194487.33,109724.37
636,1109436.24,1131624.96,75.54,1131549.42,22113.18,2216600.51,110830.03
637,1120530.6,1142941.21,76.06,1142865.15,22334.55,2238935.06,111946.75
638,1131735.91,1154370.63,76.58,1154294.04,22558.14,2261493.2,113074.66
639,1143053.27,1165914.33,77.11,1165837.23,22783.96,2284277.16,114213.86
640,1154483.8,1177573.47,77.64,1177495.84,23012.04,2307289.2,115364.46
641,1166028.64,1189349.21,78.17,1189271.04,23242.4,2330531.6,116526.58
642,1177688.92,1201242.7,78.72,1201163.99,23475.06,2354006.66,117700.33
643,1189465.81,1213255.13,79.26,1213175.87,23710.05,2377716.71,118885.84
644,1201360.47,1225387.68,79.82,1225307.86,23947.39,2401664.11,120083.21
645,1213374.08,1237641.56,80.37,1237561.18,24187.11,2425851.21,121292.56
646,1225507.82,1250017.97,80.94,1249937.04,24429.22,2450280.43,122514.02
647,1237762.89,1262518.15,81.51,1262436.65,24673.75,2474954.19,123747.71
648,1250140.52,1275143.33,82.08,1275061.25,24920.73,2499874.91,124993.75
649,1262641.93,1287894.77,82.66,1287812.1,25170.18,2525045.09,126252.25
650,1275268.35,1300773.71,83.25,1300690.47,25422.12,2550467.21,127523.36
651,1288021.03,1313781.45,83.84,1313697.61,25676.58,2576143.79,128807.19
652,1300901.24,1326919.27,84.44,1326834.83,25933.58,2602077.37,130103.87
653,1313910.25,1340188.46,85.04,1340103.41,26193.16,2628270.53,131413.53
654,1327049.36,1353590.34,85.65,1353504.69,26455.33,2654725.87,132736.29
655,1340319.85,1367126.25,86.27,1367039.98,26720.13,2681445.99,134072.3
656,1353723.05,1380797.51,86.89,1380710.62,26987.57,2708433.56,135421.68
657,1367260.28,1394605.48,87.52,1394517.96,27257.68,2735691.24,136784.56
658,1380932.88,1408551.54,88.16,1408463.38,27530.5,2763221.74,138161.09
659,1394742.21,1422637.05,88.8,1422548.26,27806.04,2791027.79,139551.39
660,1408689.63,1436863.43,89.45,1436773.98,28084.34,2819112.13,140955.61
661,1422776.53,1451232.06,90.1,1451141.96,28365.43,2847477.56,142373.88
662,1437004.29,1465744.38,90.76,1465653.62,28649.32,2876126.88,143806.34
663,1451374.34,1480401.82,91.43,1480310.39,28936.06,2905062.94,145253.15
664,1465888.08,1495205.84,92.11,1495113.74,29225.66,2934288.59,146714.43
665,1480546.96,1510157.9,92.79,1510065.11,29518.15,2963806.75,148190.34
666,1495352.43,1525259.48,93.47,1525166.01,29813.57,2993620.32,149681.02
667,1510305.96,1540512.07,94.17,1540417.91,30111.95,3023732.27,151186.61
668,1525409.01,1555917.2,94.87,1555822.32,30413.31,3054145.58,152707.28
669,1540663.11,1571476.37,95.58,1571380.79,30717.68,3084863.26,154243.16
670,1556069.74,1587191.13,96.29,1587094.84,31025.1,3115888.36,155794.42
671,1571630.43,1603063.04,97.02,1602966.02,31335.59,3147223.95,157361.2
672,1587346.74,1619093.67,97.75,1618995.92,31649.19,3178873.14,158943.66
673,1603220.21,1635284.61,98.49,1635186.12,31965.92,3210839.06,160541.95
674,1619252.41,1651637.46,99.23,1651538.22,32285.82,3243124.88,162156.24
675,1635444.93,1668153.83,99.98,1668053.85,32608.92,3275733.79,163786.69
676,1651799.38,1684835.37,100.74,1684734.63,32935.25,3308669.04,165433.45
677,1668317.37,1701683.72,101.51,1701582.21,33264.84,3341933.88,167096.69
678,1685000.55,1718700.56,102.29,1718598.27,33597.73,3375531.6,168776.58
679,1701850.55,1735887.56,103.07,1735784.5,33933.94,3409465.54,170473.28
680,1718869.06,1753246.44,103.86,1753142.58,34273.52,3443739.07,172186.95
681,1736057.75,1770778.9,104.66,1770674.25,34616.5,3478355.57,173917.78
682,1753418.33,1788486.69,105.46,1788381.23,34962.9,3513318.47,175665.92
683,1770952.51,1806371.56,106.28,1806265.28,35312.77,3548631.24,177431.56
684,1788662.04,1824435.28,107.1,1824328.18,35666.14,3584297.38,179214.87
685,1806548.66,1842679.63,107.93,1842571.7,36023.04,3620320.42,181016.02
686,1824614.14,1861106.43,108.77,1860997.65,36383.51,3656703.93,182835.2
687,1842860.28,1879717.49,109.62,1879607.87,36747.59,3693451.52,184672.58
688,1861288.89,1898514.66,110.48,1898404.19,37115.3,3730566.82,186528.34
689,1879901.78,1917499.81,111.34,1917388.47,37486.7,3768053.52,188402.68
690,1898700.79,1936674.81,112.21,1936562.6,37861.8,3805915.32,190295.77
691,1917687.8,1956041.56,113.1,1955928.46,38240.66,3844155.98,192207.8
692,1936864.68,1975601.97,113.99,1975487.99,38623.31,3882779.28,194138.96
693,1956233.33,1995357.99,114.89,1995243.11,39009.78,3921789.06,196089.45
694,1975795.66,2015311.57,115.8,2015195.78,39400.12,3961189.18,198059.46
695,1995553.62,2035464.69,116.71,2035347.98,39794.36,4000983.54,200049.18
696,2015509.15,2055819.34,117.64,2055701.69,40192.54,4041176.08,202058.8
697,2035664.24,2076377.53,118.58,2076258.95,40594.71,4081770.79,204088.54
698,2056020.89,2097141.3,119.52,2097021.78,41000.89,4122771.69,206138.58
699,2076581.1,2118112.72,120.48,2117992.24,41411.14,4164182.83,208209.14
700,2097346.91,2139293.84,121.44,2139172.4,41825.5,4206008.33,210300.42
701,2118320.38,2160686.78,122.42,2160564.37,42243.99,4248252.32,212412.62
702,2139503.58,2182293.65,123.4,2182170.25,42666.67,4290918.99,214545.95
703,2160898.61,2204116.59,124.4,2203992.19,43093.58,4334012.56,216700.63
704,2182507.6,2226157.75,125.4,2226032.35,43524.75,4377537.32,218876.87
705,2204332.68,2248419.33,126.41,2248292.92,43960.24,4421497.56,221074.88
706,2226376.0,2270903.52,127.44,2270776.09,44400.08,4465897.64,223294.88
707,2248639.76,2293612.56,128.47,2293484.09,44844.32,4510741.96,225537.1
708,2271126.16,2316548.68,129.52,2316419.17,45293.01,4556034.97,227801.75
709,2293837.42,2339714.17,130.57,2339583.6,45746.18,4601781.15,230089.06
710,2316775.8,2363111.31,131.64,2362979.68,46203.88,4647985.02,232399.25
711,2339943.56,2386742.43,132.71,2386609.71,46666.16,4694651.18,234732.56
712,2363342.99,2410609.85,133.8,2410476.05,47133.06,4741784.24,237089.21
713,2386976.42,2434715.95,134.9,2434581.05,47604.63,4789388.87,239469.44
714,2410846.18,2459063.11,136.01,2458927.1,48080.92,4837469.79,241873.49
715,2434954.65,2483653.74,137.13,2483516.61,48561.96,4886031.75,244301.59
716,2459304.19,2508490.28,138.26,2508352.02,49047.82,4935079.58,246753.98
717,2483897.24,2533575.18,139.4,2533435.78,49538.54,4984618.12,249230.91
718,2508736.21,2558910.93,140.56,2558770.38,50034.17,5034652.29,251732.61
719,2533823.57,2584500.04,141.72,2584358.32,50534.75,5085187.04,254259.35
720,2559161.81,2610345.04,142.9,2610202.14,51040.34,5136227.37,256811.37
721,2584753.42,2636448.49,144.09,2636304.4,51550.98,5187778.35,259388.92
722,2610600.96,2662812.98,145.29,2662667.69,52066.73,5239845.09,261992.25
723,2636706.97,2689441.11,146.5,2689294.6,52587.64,5292432.72,264621.64
724,2663074.04,2716335.52,147.73,2716187.79,53113.75,5345546.48,267277.32
725,2689704.78,2743498.87,148.96,2743349.91,53645.13,5399191.61,269959.58
726,2716601.82,2770933.86,150.21,2770783.65,54181.82,5453373.43,272668.67
727,2743767.84,2798643.2,151.48,2798491.72,54723.88,5508097.31,275404.87
728,2771205.52,2826629.63,152.75,2826476.88,55271.36,5563368.67,278168.43
729,2798917.58,2854895.93,154.04,2854741.89,55824.31,5619192.99,280959.65
730,2826906.75,2883444.89,155.34,2883289.55,56382.8,5675575.79,283778.79
731,2855175.82,2912279.34,156.65,2912122.68,56946.86,5732522.65,286626.13
732,2883727.58,2941402.13,157.98,2941244.15,57516.57,5790039.22,289501.96
733,2912564.85,2970816.15,159.32,2970656.83,58091.98,5848131.2,292406.56
734,2941690.5,3000524.31,160.67,3000363.64,58673.14,5906804.34,295340.22
735,2971107.41,3030529.56,162.04,3030367.52,59260.11,5966064.45,298303.22
736,3000818.48,3060834.85,163.42,3060671.43,59852.95,6025917.4,301295.87
737,3030826.67,3091443.2,164.81,3091278.39,60451.72,6086369.13,304318.46
738,3061134.93,3122357.63,166.22,3122191.41,61056.48,6147425.6,307371.28
739,3091746.28,3153581.21,167.64,3153413.57,61667.28,6209092.89,310454.64
740,3122663.75,3185117.02,169.08,3184947.94,62284.2,6271377.08,313568.85
741,3153890.38,3216968.19,170.53,3216797.66,62907.28,6334284.36,316714.22
742,3185429.29,3249137.87,172.0,3248965.88,63536.59,6397820.95,319891.05
743,3217283.58,3281629.25,173.47,3281455.78,64172.2,6461993.15,323099.66
744,3249456.42,3314445.54,174.97,3314270.57,64814.16,6526807.31,326340.37
745,3281950.98,3347590.0,176.48,3347413.52,65462.54,6592269.85,329613.49
746,3314770.49,3381065.9,178.0,3380887.89,66117.41,6658387.25,332919.36
747,3347918.19,3414876.56,179.54,3414697.01,66778.82,6725166.07,336258.3
748,3381397.38,3449025.32,181.1,3448844.22,67446.85,6792612.92,339630.65
749,3415211.35,3483515.58,182.67,3483332.91,68121.56,6860734.48,343036.72
750,3449363.46,3518350.73,184.26,3518166.48,68803.01,6929537.49,346476.87
751,3483857.1,3553534.24,185.86,3553348.38,69491.28,6999028.77,349951.44
752,3518695.67,3589069.58,187.48,3588882.1,70186.43,7069215.2,353460.76
753,3553882.63,3624960.28,189.11,3624771.16,70888.54,7140103.74,357005.19
754,3589421.45,3661209.88,190.76,3661019.12,71597.66,7211701.41,360585.07
755,3625315.67,3697821.98,192.43,3697629.55,72313.88,7284015.29,364200.76
756,3661568.82,3734800.2,194.12,3734606.08,73037.26,7357052.55,367852.63
757,3698184.51,3772148.2,195.82,3771952.38,73767.87,7430820.42,371541.02
758,3735166.36,3809869.68,197.54,3809672.15,74505.79,7505326.21,375266.31
759,3772518.02,3847968.38,199.27,3847769.11,75251.09,7580577.3,379028.87
760,3810243.2,3886448.06,201.02,3886247.04,76003.84,7656581.14,382829.06
761,3848345.63,3925312.54,202.79,3925109.75,76764.12,7733345.26,386667.26
762,3886829.09,3964565.67,204.58,3964361.09,77532.0,7810877.26,390543.86
763,3925697.38,4004211.33,206.39,4004004.94,78307.56,7889184.82,394459.24
764,3964954.35,4044253.44,208.21,4044045.23,79090.88,7968275.7,398413.78
765,4004603.9,4084695.97,210.05,4084485.92,79882.02,8048157.72,402407.89
766,4044649.94,4125542.93,211.91,4125331.02,80681.08,8128838.8,406441.94
767,4085096.43,4166798.36,213.79,4166584.57,81488.14,8210326.94,410516.35
768,4125947.4,4208466.35,215.69,4208250.66,82303.26,8292630.2,414631.51
